Season,Year,Sport,Gender,Event,Medal,Country
Summer,1896,Aquatics,Men,100M Freestyle,Gold,Hungary
Summer,1896,Aquatics,Men,100M Freestyle,Silver,Austria
Summer,1896,Aquatics,Men,100M Freestyle For Sailors,Bronze,Greece
Summer,1896,Aquatics,Men,100M Freestyle For Sailors,Gold,Greece
Summer,1896,Aquatics,Men,100M Freestyle For Sailors,Silver,Greece
Summer,1896,Aquatics,Men,1200M Freestyle,Bronze,Greece
Summer,1896,Aquatics,Men,1200M Freestyle,Gold,Hungary
Summer,1896,Aquatics,Men,1200M Freestyle,Silver,Greece
Summer,1896,Aquatics,Men,400M Freestyle,Bronze,Greece
Summer,1896,Aquatics,Men,400M Freestyle,Gold,Austria
Summer,1896,Aquatics,Men,400M Freestyle,Silver,Greece
Summer,1896,Athletics,Men,100M,Bronze,USA
Summer,1896,Athletics,Men,100M,Bronze,Hungary
Summer,1896,Athletics,Men,100M,Gold,USA
Summer,1896,Athletics,Men,100M,Silver,Germany
Summer,1896,Athletics,Men,110M Hurdles,Gold,USA
Summer,1896,Athletics,Men,110M Hurdles,Silver,UK
Summer,1896,Athletics,Men,1500M,Bronze,France
Summer,1896,Athletics,Men,1500M,Gold,Australia
Summer,1896,Athletics,Men,1500M,Silver,USA
Summer,1896,Athletics,Men,400M,Bronze,UK
Summer,1896,Athletics,Men,400M,Gold,USA
Summer,1896,Athletics,Men,400M,Silver,USA
Summer,1896,Athletics,Men,800M,Bronze,Greece
Summer,1896,Athletics,Men,800M,Gold,Australia
Summer,1896,Athletics,Men,800M,Silver,Hungary
Summer,1896,Athletics,Men,Discus Throw,Bronze,Greece
Summer,1896,Athletics,Men,Discus Throw,Gold,USA
Summer,1896,Athletics,Men,Discus Throw,Silver,Greece
Summer,1896,Athletics,Men,High Jump,Gold,USA
Summer,1896,Athletics,Men,High Jump,Silver,USA
Summer,1896,Athletics,Men,High Jump,Silver,USA
Summer,1896,Athletics,Men,Long Jump,Bronze,USA
Summer,1896,Athletics,Men,Long Jump,Gold,USA
Summer,1896,Athletics,Men,Long Jump,Silver,USA
Summer,1896,Athletics,Men,Marathon,Bronze,Hungary
Summer,1896,Athletics,Men,Marathon,Gold,Greece
Summer,1896,Athletics,Men,Marathon,Silver,Greece
Summer,1896,Athletics,Men,Pole Vault,Bronze,Greece
Summer,1896,Athletics,Men,Pole Vault,Bronze,Greece
Summer,1896,Athletics,Men,Pole Vault,Gold,USA
Summer,1896,Athletics,Men,Pole Vault,Silver,USA
Summer,1896,Athletics,Men,Shot Put,Bronze,Greece
Summer,1896,Athletics,Men,Shot Put,Gold,USA
Summer,1896,Athletics,Men,Shot Put,Silver,Greece
Summer,1896,Athletics,Men,Triple Jump,Bronze,Greece
Summer,1896,Athletics,Men,Triple Jump,Gold,USA
Summer,1896,Athletics,Men,Triple Jump,Silver,France
Summer,1896,Cycling,Men,Individual Road Race,Bronze,UK
Summer,1896,Cycling,Men,Individual Road Race,Gold,Greece
Summer,1896,Cycling,Men,Individual Road Race,Silver,Germany
Summer,1896,Cycling,Men,100KM,Gold,France
Summer,1896,Cycling,Men,100KM,Silver,Greece
Summer,1896,Cycling,Men,10KM,Bronze,Austria
Summer,1896,Cycling,Men,10KM,Gold,France
Summer,1896,Cycling,Men,10KM,Silver,France
Summer,1896,Cycling,Men,12-Hour Race,Gold,Austria
Summer,1896,Cycling,Men,12-Hour Race,Silver,UK
Summer,1896,Cycling,Men,1KM Time Trial,Bronze,Austria
Summer,1896,Cycling,Men,1KM Time Trial,Gold,France
Summer,1896,Cycling,Men,1KM Time Trial,Silver,Greece
Summer,1896,Cycling,Men,Sprint Indivual,Bronze,France
Summer,1896,Cycling,Men,Sprint Indivual,Gold,France
Summer,1896,Cycling,Men,Sprint Indivual,Silver,Greece
Summer,1896,Fencing,Men,Foil Individual,Bronze,Greece
Summer,1896,Fencing,Men,Foil Individual,Gold,France
Summer,1896,Fencing,Men,Foil Individual,Silver,France
Summer,1896,Fencing,Men,"Foil, Masters",Gold,Greece
Summer,1896,Fencing,Men,"Foil, Masters",Silver,France
Summer,1896,Fencing,Men,Sabre Individual,Bronze,Denmark
Summer,1896,Fencing,Men,Sabre Individual,Gold,Greece
Summer,1896,Fencing,Men,Sabre Individual,Silver,Greece
Summer,1896,Gymnastics,Men,Horizontal Bar,Gold,Germany
Summer,1896,Gymnastics,Men,Horizontal Bar,Silver,Germany
Summer,1896,Gymnastics,Men,Parallel Bars,Gold,Germany
Summer,1896,Gymnastics,Men,Parallel Bars,Silver,Switzerland
Summer,1896,Gymnastics,Men,Pommel Horse,Gold,Switzerland
Summer,1896,Gymnastics,Men,Pommel Horse,Silver,Germany
Summer,1896,Gymnastics,Men,Rings,Bronze,Greece
Summer,1896,Gymnastics,Men,Rings,Gold,Greece
Summer,1896,Gymnastics,Men,Rings,Silver,Germany
Summer,1896,Gymnastics,Men,Rope Climbing,Bronze,Germany
Summer,1896,Gymnastics,Men,Rope Climbing,Gold,Greece
Summer,1896,Gymnastics,Men,Rope Climbing,Silver,Greece
Summer,1896,Gymnastics,Men,"Team, Horizontal Bar",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Horizontal Bar",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Horizontal Bar",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Horizontal Bar",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Horizontal Bar",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Horizontal Bar",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Horizontal Bar",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Horizontal Bar",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Horizontal Bar",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Horizontal Bar",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Horizontal Bar",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Bronze,Greece
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Bronze,Greece
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Bronze,Greece
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Bronze,Greece
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Gold,Germany
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Silver,Greece
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Silver,Greece
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Silver,Greece
Summer,1896,Gymnastics,Men,"Team, Parallel Bars",Silver,Greece
Summer,1896,Gymnastics,Men,Vault,Bronze,Germany
Summer,1896,Gymnastics,Men,Vault,Gold,Germany
Summer,1896,Gymnastics,Men,Vault,Silver,Switzerland
Summer,1896,Shooting,Men,25M Army Pistol,Bronze,Greece
Summer,1896,Shooting,Men,25M Army Pistol,Gold,USA
Summer,1896,Shooting,Men,25M Army Pistol,Silver,USA
Summer,1896,Shooting,Men,25M Rapid Fire Pistol (60 Shots),Bronze,Denmark
Summer,1896,Shooting,Men,25M Rapid Fire Pistol (60 Shots),Gold,Greece
Summer,1896,Shooting,Men,25M Rapid Fire Pistol (60 Shots),Silver,Greece
Summer,1896,Shooting,Men,50M Pistol (60 Shots),Bronze,Greece
Summer,1896,Shooting,Men,50M Pistol (60 Shots),Gold,USA
Summer,1896,Shooting,Men,50M Pistol (60 Shots),Silver,Denmark
Summer,1896,Shooting,Men,"Army Rifle, 200M",Bronze,Greece
Summer,1896,Shooting,Men,"Army Rifle, 200M",Gold,Greece
Summer,1896,Shooting,Men,"Army Rifle, 200M",Silver,Greece
Summer,1896,Shooting,Men,"Army Rifle, 300M",Bronze,Denmark
Summer,1896,Shooting,Men,"Army Rifle, 300M",Gold,Greece
Summer,1896,Shooting,Men,"Army Rifle, 300M",Silver,Greece
Summer,1896,Tennis,Men,Doubles,Bronze,Mixed Team
Summer,1896,Tennis,Men,Doubles,Bronze,Mixed Team
Summer,1896,Tennis,Men,Doubles,Gold,Mixed Team
Summer,1896,Tennis,Men,Doubles,Gold,Mixed Team
Summer,1896,Tennis,Men,Doubles,Silver,Mixed Team
Summer,1896,Tennis,Men,Doubles,Silver,Mixed Team
Summer,1896,Tennis,Men,Singles,Bronze,Greece
Summer,1896,Tennis,Men,Singles,Bronze,Hungary
Summer,1896,Tennis,Men,Singles,Gold,UK
Summer,1896,Tennis,Men,Singles,Silver,Greece
Summer,1896,Weightlifting,Men,Heavyweight - One Hand Lift,Bronze,Greece
Summer,1896,Weightlifting,Men,Heavyweight - One Hand Lift,Gold,UK
Summer,1896,Weightlifting,Men,Heavyweight - One Hand Lift,Silver,Denmark
Summer,1896,Weightlifting,Men,Heavyweight - Two Hand Lift,Bronze,Greece
Summer,1896,Weightlifting,Men,Heavyweight - Two Hand Lift,Gold,Denmark
Summer,1896,Weightlifting,Men,Heavyweight - Two Hand Lift,Silver,UK
Summer,1896,Wrestling,Men,Open Event,Bronze,Greece
Summer,1896,Wrestling,Men,Open Event,Gold,Germany
Summer,1896,Wrestling,Men,Open Event,Silver,Greece
Summer,1900,Aquatics,Men,1500M Freestyle,Bronze,Hungary
Summer,1900,Aquatics,Men,1500M Freestyle,Gold,UK
Summer,1900,Aquatics,Men,1500M Freestyle,Silver,Austria
Summer,1900,Aquatics,Men,200M Backstroke,Bronze,Netherlands
Summer,1900,Aquatics,Men,200M Backstroke,Gold,Germany
Summer,1900,Aquatics,Men,200M Backstroke,Silver,Austria
Summer,1900,Aquatics,Men,200M Freestyle,Bronze,Austria
Summer,1900,Aquatics,Men,200M Freestyle,Gold,Australia
Summer,1900,Aquatics,Men,200M Freestyle,Silver,Hungary
Summer,1900,Aquatics,Men,200M Obstacle Event,Bronze,UK
Summer,1900,Aquatics,Men,200M Obstacle Event,Gold,Australia
Summer,1900,Aquatics,Men,200M Obstacle Event,Silver,Austria
Summer,1900,Aquatics,Men,200M Team Swimming,Bronze,France
Summer,1900,Aquatics,Men,200M Team Swimming,Bronze,France
Summer,1900,Aquatics,Men,200M Team Swimming,Bronze,France
Summer,1900,Aquatics,Men,200M Team Swimming,Bronze,France
Summer,1900,Aquatics,Men,200M Team Swimming,Bronze,France
Summer,1900,Aquatics,Men,200M Team Swimming,Gold,Germany
Summer,1900,Aquatics,Men,200M Team Swimming,Gold,Germany
Summer,1900,Aquatics,Men,200M Team Swimming,Gold,Germany
Summer,1900,Aquatics,Men,200M Team Swimming,Gold,Germany
Summer,1900,Aquatics,Men,200M Team Swimming,Gold,Germany
Summer,1900,Aquatics,Men,200M Team Swimming,Silver,France
Summer,1900,Aquatics,Men,200M Team Swimming,Silver,France
Summer,1900,Aquatics,Men,200M Team Swimming,Silver,France
Summer,1900,Aquatics,Men,200M Team Swimming,Silver,France
Summer,1900,Aquatics,Men,200M Team Swimming,Silver,France
Summer,1900,Aquatics,Men,4000M Freestyle,Bronze,France
Summer,1900,Aquatics,Men,4000M Freestyle,Gold,UK
Summer,1900,Aquatics,Men,4000M Freestyle,Silver,Hungary
Summer,1900,Aquatics,Men,Underwater Swimming,Bronze,Denmark
Summer,1900,Aquatics,Men,Underwater Swimming,Gold,France
Summer,1900,Aquatics,Men,Underwater Swimming,Silver,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Bronze,France
Summer,1900,Aquatics,Men,Water Polo,Gold,UK
Summer,1900,Aquatics,Men,Water Polo,Gold,UK
Summer,1900,Aquatics,Men,Water Polo,Gold,UK
Summer,1900,Aquatics,Men,Water Polo,Gold,UK
Summer,1900,Aquatics,Men,Water Polo,Gold,UK
Summer,1900,Aquatics,Men,Water Polo,Gold,UK
Summer,1900,Aquatics,Men,Water Polo,Gold,UK
Summer,1900,Aquatics,Men,Water Polo,Silver,Belgium
Summer,1900,Aquatics,Men,Water Polo,Silver,Belgium
Summer,1900,Aquatics,Men,Water Polo,Silver,Belgium
Summer,1900,Aquatics,Men,Water Polo,Silver,Belgium
Summer,1900,Aquatics,Men,Water Polo,Silver,Belgium
Summer,1900,Aquatics,Men,Water Polo,Silver,Belgium
Summer,1900,Aquatics,Men,Water Polo,Silver,Belgium
Summer,1900,Archery,Men,"Au Chapelet, 33M",Bronze,France
Summer,1900,Archery,Men,"Au Chapelet, 33M",Gold,Belgium
Summer,1900,Archery,Men,"Au Chapelet, 33M",Silver,France
Summer,1900,Archery,Men,"Au Chapelet, 50M",Bronze,France
Summer,1900,Archery,Men,"Au Chapelet, 50M",Gold,France
Summer,1900,Archery,Men,"Au Chapelet, 50M",Silver,France
Summer,1900,Archery,Men,"Au Cordon Doré, 33M",Bronze,France
Summer,1900,Archery,Men,"Au Cordon Doré, 33M",Gold,Belgium
Summer,1900,Archery,Men,"Au Cordon Doré, 33M",Silver,France
Summer,1900,Archery,Men,"Au Cordon Doré, 50M",Bronze,France
Summer,1900,Archery,Men,"Au Cordon Doré, 50M",Gold,France
Summer,1900,Archery,Men,"Au Cordon Doré, 50M",Silver,Belgium
Summer,1900,Archery,Men,Sur La Perche À La Herse,Gold,Belgium
Summer,1900,Archery,Men,Sur La Perche À La Herse,Silver,Belgium
Summer,1900,Archery,Men,Sur La Perche À La Herse,Silver,France
Summer,1900,Archery,Men,Sur La Perche À La Pyramide,Bronze,Belgium
Summer,1900,Archery,Men,Sur La Perche À La Pyramide,Gold,France
Summer,1900,Archery,Men,Sur La Perche À La Pyramide,Silver,France
Summer,1900,Athletics,Men,100M,Bronze,Australia
Summer,1900,Athletics,Men,100M,Gold,USA
Summer,1900,Athletics,Men,100M,Silver,USA
Summer,1900,Athletics,Men,110M Hurdles,Bronze,USA
Summer,1900,Athletics,Men,110M Hurdles,Gold,USA
Summer,1900,Athletics,Men,110M Hurdles,Silver,USA
Summer,1900,Athletics,Men,1500M,Bronze,USA
Summer,1900,Athletics,Men,1500M,Gold,UK
Summer,1900,Athletics,Men,1500M,Silver,France
Summer,1900,Athletics,Men,200M,Bronze,Australia
Summer,1900,Athletics,Men,200M,Gold,USA
Summer,1900,Athletics,Men,200M,Silver,India
Summer,1900,Athletics,Men,200M Hurdles,Bronze,USA
Summer,1900,Athletics,Men,200M Hurdles,Gold,USA
Summer,1900,Athletics,Men,200M Hurdles,Silver,India
Summer,1900,Athletics,Men,3000M Steeplechase,Bronze,France
Summer,1900,Athletics,Men,3000M Steeplechase,Gold,Canada
Summer,1900,Athletics,Men,3000M Steeplechase,Silver,UK
Summer,1900,Athletics,Men,4000M Steeplechase,Bronze,UK
Summer,1900,Athletics,Men,4000M Steeplechase,Gold,UK
Summer,1900,Athletics,Men,4000M Steeplechase,Silver,UK
Summer,1900,Athletics,Men,400M,Bronze,Denmark
Summer,1900,Athletics,Men,400M,Gold,USA
Summer,1900,Athletics,Men,400M,Silver,USA
Summer,1900,Athletics,Men,400M Hurdles,Bronze,Canada
Summer,1900,Athletics,Men,400M Hurdles,Gold,USA
Summer,1900,Athletics,Men,400M Hurdles,Silver,France
Summer,1900,Athletics,Men,5000M Team,Gold,Mixed Team
Summer,1900,Athletics,Men,5000M Team,Gold,Mixed Team
Summer,1900,Athletics,Men,5000M Team,Gold,Mixed Team
Summer,1900,Athletics,Men,5000M Team,Gold,Mixed Team
Summer,1900,Athletics,Men,5000M Team,Gold,Mixed Team
Summer,1900,Athletics,Men,5000M Team,Silver,France
Summer,1900,Athletics,Men,5000M Team,Silver,France
Summer,1900,Athletics,Men,5000M Team,Silver,France
Summer,1900,Athletics,Men,5000M Team,Silver,France
Summer,1900,Athletics,Men,5000M Team,Silver,France
Summer,1900,Athletics,Men,60M,Bronze,Australia
Summer,1900,Athletics,Men,60M,Gold,USA
Summer,1900,Athletics,Men,60M,Silver,USA
Summer,1900,Athletics,Men,800M,Bronze,USA
Summer,1900,Athletics,Men,800M,Gold,UK
Summer,1900,Athletics,Men,800M,Silver,USA
Summer,1900,Athletics,Men,Discus Throw,Bronze,USA
Summer,1900,Athletics,Men,Discus Throw,Gold,Hungary
Summer,1900,Athletics,Men,Discus Throw,Silver,Czech Republic
Summer,1900,Athletics,Men,Hammer Throw,Bronze,USA
Summer,1900,Athletics,Men,Hammer Throw,Gold,USA
Summer,1900,Athletics,Men,Hammer Throw,Silver,USA
Summer,1900,Athletics,Men,High Jump,Bronze,Hungary
Summer,1900,Athletics,Men,High Jump,Gold,USA
Summer,1900,Athletics,Men,High Jump,Silver,UK
Summer,1900,Athletics,Men,"High Jump, Standing",Bronze,USA
Summer,1900,Athletics,Men,"High Jump, Standing",Gold,USA
Summer,1900,Athletics,Men,"High Jump, Standing",Silver,USA
Summer,1900,Athletics,Men,Long Jump,Bronze,UK
Summer,1900,Athletics,Men,Long Jump,Gold,USA
Summer,1900,Athletics,Men,Long Jump,Silver,USA
Summer,1900,Athletics,Men,"Long Jump, Standing",Bronze,France
Summer,1900,Athletics,Men,"Long Jump, Standing",Gold,USA
Summer,1900,Athletics,Men,"Long Jump, Standing",Silver,USA
Summer,1900,Athletics,Men,Marathon,Bronze,Sweden
Summer,1900,Athletics,Men,Marathon,Gold,France
Summer,1900,Athletics,Men,Marathon,Silver,France
Summer,1900,Athletics,Men,Pole Vault,Bronze,Norway
Summer,1900,Athletics,Men,Pole Vault,Gold,USA
Summer,1900,Athletics,Men,Pole Vault,Silver,USA
Summer,1900,Athletics,Men,Shot Put,Bronze,USA
Summer,1900,Athletics,Men,Shot Put,Gold,USA
Summer,1900,Athletics,Men,Shot Put,Silver,USA
Summer,1900,Athletics,Men,Triple Jump,Bronze,USA
Summer,1900,Athletics,Men,Triple Jump,Gold,USA
Summer,1900,Athletics,Men,Triple Jump,Silver,USA
Summer,1900,Athletics,Men,"Triple Jump, Standing",Bronze,USA
Summer,1900,Athletics,Men,"Triple Jump, Standing",Gold,USA
Summer,1900,Athletics,Men,"Triple Jump, Standing",Silver,USA
Summer,1900,Basque Pelota,Men,Cesta Punta,Gold,Spain
Summer,1900,Basque Pelota,Men,Cesta Punta,Gold,Spain
Summer,1900,Basque Pelota,Men,Cesta Punta,Silver,France
Summer,1900,Basque Pelota,Men,Cesta Punta,Silver,France
Summer,1900,Cricket,Men,Cricket,Gold,UK
Summer,1900,Cricket,Men,Cricket,Gold,UK
Summer,1900,Cricket,Men,Cricket,Gold,UK
Summer,1900,Cricket,Men,Cricket,Gold,UK
Summer,1900,Cricket,Men,Cricket,Gold,UK
Summer,1900,Cricket,Men,Cricket,Gold,UK
Summer,1900,Cricket,Men,Cricket,Gold,UK
Summer,1900,Cricket,Men,Cricket,Gold,UK
Summer,1900,Cricket,Men,Cricket,Gold,UK
Summer,1900,Cricket,Men,Cricket,Gold,UK
Summer,1900,Cricket,Men,Cricket,Gold,UK
Summer,1900,Cricket,Men,Cricket,Gold,UK
Summer,1900,Cricket,Men,Cricket,Silver,France
Summer,1900,Cricket,Men,Cricket,Silver,France
Summer,1900,Cricket,Men,Cricket,Silver,France
Summer,1900,Cricket,Men,Cricket,Silver,France
Summer,1900,Cricket,Men,Cricket,Silver,France
Summer,1900,Cricket,Men,Cricket,Silver,France
Summer,1900,Cricket,Men,Cricket,Silver,France
Summer,1900,Cricket,Men,Cricket,Silver,France
Summer,1900,Cricket,Men,Cricket,Silver,France
Summer,1900,Cricket,Men,Cricket,Silver,France
Summer,1900,Cricket,Men,Cricket,Silver,France
Summer,1900,Cricket,Men,Cricket,Silver,France
Summer,1900,Croquet,Men,Double,Gold,France
Summer,1900,Croquet,Men,Double,Gold,France
Summer,1900,Croquet,Men,Individual 1 Ball,Bronze,France
Summer,1900,Croquet,Men,Individual 1 Ball,Gold,France
Summer,1900,Croquet,Men,Individual 1 Ball,Silver,France
Summer,1900,Croquet,Men,Individual 2 Balls,Bronze,France
Summer,1900,Croquet,Men,Individual 2 Balls,Gold,France
Summer,1900,Croquet,Men,Individual 2 Balls,Silver,France
Summer,1900,Cycling,Men,25 Kilometres,Bronze,France
Summer,1900,Cycling,Men,25 Kilometres,Gold,France
Summer,1900,Cycling,Men,25 Kilometres,Silver,France
Summer,1900,Cycling,Men,Sprint Indivual,Bronze,USA
Summer,1900,Cycling,Men,Sprint Indivual,Gold,France
Summer,1900,Cycling,Men,Sprint Indivual,Silver,France
Summer,1900,Equestrian,Men,High Jump,Bronze,Belgium
Summer,1900,Equestrian,Men,High Jump,Gold,France
Summer,1900,Equestrian,Men,High Jump,Gold,Italy
Summer,1900,Equestrian,Men,Individual,Bronze,France
Summer,1900,Equestrian,Men,Individual,Gold,Belgium
Summer,1900,Equestrian,Men,Individual,Silver,Belgium
Summer,1900,Equestrian,Men,Long Jump Individual,Bronze,France
Summer,1900,Equestrian,Men,Long Jump Individual,Gold,Belgium
Summer,1900,Equestrian,Men,Long Jump Individual,Silver,Italy
Summer,1900,Fencing,Men,Épée Individual,Bronze,France
Summer,1900,Fencing,Men,Épée Individual,Gold,Cuba
Summer,1900,Fencing,Men,Épée Individual,Silver,France
Summer,1900,Fencing,Men,"Épée, Amateurs And Masters",Bronze,France
Summer,1900,Fencing,Men,"Épée, Amateurs And Masters",Gold,France
Summer,1900,Fencing,Men,"Épée, Amateurs And Masters",Silver,Cuba
Summer,1900,Fencing,Men,"Épée, Masters",Bronze,France
Summer,1900,Fencing,Men,"Épée, Masters",Gold,France
Summer,1900,Fencing,Men,"Épée, Masters",Silver,France
Summer,1900,Fencing,Men,Foil Individual,Bronze,France
Summer,1900,Fencing,Men,Foil Individual,Gold,France
Summer,1900,Fencing,Men,Foil Individual,Silver,France
Summer,1900,Fencing,Men,"Foil, Masters",Bronze,France
Summer,1900,Fencing,Men,"Foil, Masters",Gold,France
Summer,1900,Fencing,Men,"Foil, Masters",Silver,France
Summer,1900,Fencing,Men,Sabre Individual,Bronze,Austria
Summer,1900,Fencing,Men,Sabre Individual,Gold,France
Summer,1900,Fencing,Men,Sabre Individual,Silver,France
Summer,1900,Fencing,Men,"Sabre, Masters",Bronze,Austria
Summer,1900,Fencing,Men,"Sabre, Masters",Gold,Italy
Summer,1900,Fencing,Men,"Sabre, Masters",Silver,Italy
Summer,1900,Football,Men,Football,Bronze,Belgium
Summer,1900,Football,Men,Football,Bronze,Belgium
Summer,1900,Football,Men,Football,Bronze,Belgium
Summer,1900,Football,Men,Football,Bronze,Belgium
Summer,1900,Football,Men,Football,Bronze,Belgium
Summer,1900,Football,Men,Football,Bronze,Belgium
Summer,1900,Football,Men,Football,Bronze,Belgium
Summer,1900,Football,Men,Football,Bronze,Belgium
Summer,1900,Football,Men,Football,Bronze,Belgium
Summer,1900,Football,Men,Football,Bronze,Belgium
Summer,1900,Football,Men,Football,Bronze,Belgium
Summer,1900,Football,Men,Football,Gold,UK
Summer,1900,Football,Men,Football,Gold,UK
Summer,1900,Football,Men,Football,Gold,UK
Summer,1900,Football,Men,Football,Gold,UK
Summer,1900,Football,Men,Football,Gold,UK
Summer,1900,Football,Men,Football,Gold,UK
Summer,1900,Football,Men,Football,Gold,UK
Summer,1900,Football,Men,Football,Gold,UK
Summer,1900,Football,Men,Football,Gold,UK
Summer,1900,Football,Men,Football,Gold,UK
Summer,1900,Football,Men,Football,Gold,UK
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Football,Men,Football,Silver,France
Summer,1900,Golf,Men,Individual,Bronze,UK
Summer,1900,Golf,Men,Individual,Gold,USA
Summer,1900,Golf,Men,Individual,Silver,UK
Summer,1900,Golf,Women,Individual,Bronze,USA
Summer,1900,Golf,Women,Individual,Gold,USA
Summer,1900,Golf,Women,Individual,Silver,USA
Summer,1900,Gymnastics,Men,Individual All-Round,Bronze,France
Summer,1900,Gymnastics,Men,Individual All-Round,Gold,France
Summer,1900,Gymnastics,Men,Individual All-Round,Silver,France
Summer,1900,Polo,Men,Polo,Bronze,Mixed Team
Summer,1900,Polo,Men,Polo,Bronze,Mixed Team
Summer,1900,Polo,Men,Polo,Bronze,Mixed Team
Summer,1900,Polo,Men,Polo,Bronze,Mixed Team
Summer,1900,Polo,Men,Polo,Gold,Mixed Team
Summer,1900,Polo,Men,Polo,Gold,Mixed Team
Summer,1900,Polo,Men,Polo,Gold,Mixed Team
Summer,1900,Polo,Men,Polo,Gold,Mixed Team
Summer,1900,Polo,Men,Polo,Silver,Mixed Team
Summer,1900,Polo,Men,Polo,Silver,Mixed Team
Summer,1900,Polo,Men,Polo,Silver,Mixed Team
Summer,1900,Polo,Men,Polo,Silver,Mixed Team
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Bronze,Netherlands
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Bronze,Netherlands
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Bronze,Netherlands
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Bronze,Netherlands
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Bronze,Netherlands
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Bronze,Netherlands
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Bronze,Netherlands
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Bronze,Netherlands
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Bronze,Netherlands
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Gold,USA
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Gold,USA
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Gold,USA
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Gold,USA
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Gold,USA
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Gold,USA
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Gold,USA
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Gold,USA
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Gold,USA
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Silver,Belgium
Summer,1900,Rowing,Men,Eight With Coxswain (8+),Silver,Belgium
